2023-07-24 21:07:839 INFO  FamilyImmigrationStatusPage :72 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:857 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (0f08631611787272d7f46895095b10ce)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:912 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (0f08631611787272d7f46895095b10ce)] -> xpath: //select[@id='response']]
2023-07-24 21:07:995 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (0f08631611787272d7f46895095b10ce)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:60 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (0f08631611787272d7f46895095b10ce)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:587 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (c4b36dc7ea7efc1809d56887c9512356)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:643 INFO  FamilyImmigrationStatusPage :54 - Send text : [[ChromeDriver: chrome on windows (c4b36dc7ea7efc1809d56887c9512356)] -> xpath: //select[@id='response']]
2023-07-24 21:07:710 INFO  FamilyImmigrationStatusPage :60 - Clicking on Element : [[ChromeDriver: chrome on windows (c4b36dc7ea7efc1809d56887c9512356)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:780 INFO  FamilyImmigrationStatusPage :66 - Clicking on Element : [[ChromeDriver: chrome on windows (c4b36dc7ea7efc1809d56887c9512356)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:197 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (c04c131eb9d7ab7b156570d2913f29c1)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:254 INFO  FamilyImmigrationStatusPage :52 - Send text : [[ChromeDriver: chrome on windows (c04c131eb9d7ab7b156570d2913f29c1)] -> xpath: //select[@id='response']]
2023-07-24 21:07:391 INFO  FamilyImmigrationStatusPage :58 - Clicking on Element : [[ChromeDriver: chrome on windows (c04c131eb9d7ab7b156570d2913f29c1)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:491 INFO  FamilyImmigrationStatusPage :64 - Clicking on Element : [[ChromeDriver: chrome on windows (c04c131eb9d7ab7b156570d2913f29c1)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:891 INFO  FamilyImmigrationStatusPage :70 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:393 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (faff36e085f85fdc6733cd35cfc49439)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:449 INFO  FamilyImmigrationStatusPage :52 - Send text : [[ChromeDriver: chrome on windows (faff36e085f85fdc6733cd35cfc49439)] -> xpath: //select[@id='response']]
2023-07-24 21:07:530 INFO  FamilyImmigrationStatusPage :58 - Clicking on Element : [[ChromeDriver: chrome on windows (faff36e085f85fdc6733cd35cfc49439)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:662 INFO  FamilyImmigrationStatusPage :64 - Clicking on Element : [[ChromeDriver: chrome on windows (faff36e085f85fdc6733cd35cfc49439)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:754 INFO  FamilyImmigrationStatusPage :70 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:80 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (b55d36684dd287836e16297ce3d1c9fd)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:136 INFO  FamilyImmigrationStatusPage :52 - Send text : [[ChromeDriver: chrome on windows (b55d36684dd287836e16297ce3d1c9fd)] -> xpath: //select[@id='response']]
2023-07-24 21:07:223 INFO  FamilyImmigrationStatusPage :58 - Clicking on Element : [[ChromeDriver: chrome on windows (b55d36684dd287836e16297ce3d1c9fd)] -> xpath: //button[contains(text(),'Continue')]]
2023-07-24 21:07:338 INFO  FamilyImmigrationStatusPage :64 - Clicking on Element : [[ChromeDriver: chrome on windows (b55d36684dd287836e16297ce3d1c9fd)] -> xpath: //input[@id='response-4']]
2023-07-24 21:07:443 INFO  FamilyImmigrationStatusPage :70 - Clicking on Element : Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'
2023-07-24 21:07:75 INFO  DurationOfStayPage :71 - Text : Proxy element for: DefaultElementLocator 'By.xpath: //p[contains(text(),'You need a family visa to live with a family membe')]'
2023-07-24 21:07:462 INFO  StartPage :27 - Clicking on Element : [[ChromeDriver: chrome on windows (e8d7146b421f7d267a4e0288d23d5f4a)] -> xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]]
2023-07-24 21:07:515 INFO  FamilyImmigrationStatusPage :52 - Send text : [[ChromeDriver: chrome on windows (e8d7146b421f7d267a4e0288d23d5f4a)] -> xpath: //select[@id='response']]
